R(x),Decomposable,P(x),Q(x)
-604661760*x**15 - 2687385600*x**14 - 1586304000*x**13 + 4750223616*x**12 - 1850360832*x**11 - 10554295808*x**10 + 9343137856*x**9 + 4528056192*x**8 - 16189175712*x**7 + 10448707664*x**6 + 2530469616*x**5 - 10019571168*x**4 + 8497555420*x**3 - 4119610764*x**2 + 1153795330*x - 168951445,1,-10*x**5 - 49*x**4 + 33*x**3 - 98*x**2 + 4*x + 29,36*x**3 + 32*x**2 - 38*x + 27
-78310546875*x**15 + 407214843750*x**14 - 408467812500*x**13 - 728816990625*x**12 + 512741907000*x**11 + 1618248393144*x**10 + 224729216235*x**9 - 1702982967642*x**8 - 1677318971544*x**7 - 68723347806*x**6 + 1093899714264*x**5 + 1109037725208*x**4 + 595448311725*x**3 + 198401310846*x**2 + 39542973876*x + 3867756979,1,33*x**5 + 18*x**4 - 91*x**3 - 51*x**2 - 93*x + 3,-75*x**3 + 78*x**2 + 84*x + 41
8957952*x**15 + 115706880*x**14 + 381335040*x**13 - 1062875520*x**12 - 8406717840*x**11 - 5347048644*x**10 + 58204226568*x**9 + 106179980737*x**8 - 153986779240*x**7 - 519588366244*x**6 - 16377769312*x**5 + 1057545002513*x**4 + 781421817224*x**3 - 641765694939*x**2 - 1010630870150*x - 345655507534,1,-36*x**5 - 35*x**4 + 64*x**3 + 91*x**2 + 55*x - 7,-12*x**3 - 31*x**2 + 58*x + 99
79361856*x**15 + 1410877440*x**14 + 11487873600*x**13 + 54641928672*x**12 + 159937663104*x**11 + 264498375552*x**10 + 111776301000*x**9 - 455665055168*x**8 - 826052804520*x**7 - 63353252792*x**6 + 1067684357016*x**5 + 536545501168*x**4 - 816314718846*x**3 - 372139154552*x**2 + 517847621610*x - 122690680616,1,42*x**5 - 38*x**4 + 49*x**3 + 76*x**2 - 71*x + 94,18*x**3 + 64*x**2 + 66*x - 78
-64794719691*x**15 - 361211943105*x**14 - 1148053885290*x**13 - 2097886681044*x**12 - 2317464841431*x**11 - 600188052361*x**10 + 1797876372305*x**9 + 2948015980711*x**8 + 889097207195*x**7 - 1111132978970*x**6 - 1704119714554*x**5 + 183757768259*x**4 + 459818898636*x**3 + 372503159980*x**2 - 359879612272*x + 68887976622,1,-13*x**5 + 71*x**4 - 39*x**3 - 26*x + 21,87*x**3 + 97*x**2 + 92*x - 87
56320*x**15 - 704000*x**14 + 8025600*x**13 - 54333440*x**12 + 328913600*x**11 - 1416904160*x**10 + 5446859648*x**9 - 15124221200*x**8 + 37125255104*x**7 - 58960333744*x**6 + 80357021904*x**5 - 34507769348*x**4 + 6863562232*x**3 - 711732844*x**2 + 37588864*x - 802625,1,55*x**5 + 60*x**4 + 62*x**3 - 17*x**2 + 19*x - 68,4*x**3 - 10*x**2 + 64*x - 7
-2219006624*x**15 - 1799194560*x**14 - 10778958400*x**13 - 14264498112*x**12 - 25255449344*x**11 - 38257675776*x**10 - 41373322560*x**9 - 50538233472*x**8 - 46500542080*x**7 - 37675959560*x**6 - 30022268384*x**5 - 16220822464*x**4 - 7839841600*x**3 - 3177569312*x**2 + 279933696*x + 435531294,1,x**5 + 88*x**4 - 24*x**3 + 78*x**2 + 48*x - 2,-74*x**3 - 12*x**2 - 68*x - 68
63963136*x**15 - 259850240*x**14 + 1801461760*x**13 - 3348646400*x**12 + 12698192400*x**11 - 651924073*x**10 + 23833783973*x**9 + 92904371453*x**8 + 66496717422*x**7 + 261622760872*x**6 + 485584833788*x**5 + 477305551211*x**4 + 797962863495*x**3 + 1053181652787*x**2 + 627099471936*x + 134290675796,1,61*x**5 - 35*x**4 - 47*x**3 - 27*x**2 - 64*x + 8,16*x**3 - 13*x**2 + 69*x + 74
116376653*x**15 - 1960027840*x**14 + 15623807445*x**13 - 79034663907*x**12 + 286123029618*x**11 - 789534894588*x**10 + 1721653242692*x**9 - 3029601102018*x**8 + 4349466200007*x**7 - 5109546081415*x**6 + 4889395709071*x**5 - 3760387582977*x**4 + 2264809575325*x**3 - 1018397962195*x**2 + 310390053975*x - 50247183940,1,-47*x**5 + 13*x**4 + 2*x**3 + 13*x**2 + 7*x - 4,-19*x**3 + 64*x**2 - 79*x + 64
-117607351072*x**15 - 421161459920*x**14 + 72162289920*x**13 + 1139606099672*x**12 - 668574621394*x**11 - 1812437614921*x**10 + 2176433903153*x**9 + 615208328516*x**8 - 2760164703982*x**7 + 1768222539268*x**6 + 431750902404*x**5 - 1410551628241*x**4 + 1051363393181*x**3 - 427448874473*x**2 + 98443310235*x - 10588500395,1,-53*x**5 + 72*x**4 + 53*x**3 + 37*x - 9,74*x**3 + 53*x**2 - 85*x + 46
6214455478*x**15 + 61510426670*x**14 + 230214386710*x**13 + 419212976924*x**12 + 512539189638*x**11 + 771386223586*x**10 + 928910230500*x**9 + 604377425266*x**8 + 822419937066*x**7 + 643173565093*x**6 + 82271320012*x**5 + 617458946021*x**4 - 170808529990*x**3 + 245668756631*x**2 - 46837090230*x + 29914033069,1,22*x**5 - 96*x**4 - 62*x**3 - 87*x**2 + 54*x + 69,49*x**3 + 97*x**2 - 21*x + 68
156541572*x**15 - 1778881500*x**14 + 8299290780*x**13 - 18859976091*x**12 + 14364951480*x**11 + 26450536878*x**10 - 66353216877*x**9 + 25871232816*x**8 + 66581230662*x**7 - 70009875666*x**6 - 21436301808*x**5 + 54030506031*x**4 - 3099144546*x**3 - 19970884512*x**2 + 2485217889*x + 3328828867,1,-4*x**5 + 89*x**4 + 93*x**3 - 60*x**2 + 96*x - 89,-33*x**3 + 75*x**2 - 9*x - 57
31223221632*x**15 + 245738318400*x**14 + 724472968320*x**13 + 1061547008544*x**12 + 1223671178520*x**11 + 1766520863252*x**10 + 1699002147988*x**9 + 1108397231516*x**8 + 1464061689518*x**7 + 783360825221*x**6 + 285030064715*x**5 + 688212684836*x**4 - 157158198031*x**3 + 257475162617*x**2 - 45640143780*x + 28461224907,1,-68*x**5 + 4*x**4 + 51*x**3 - 14*x**2 - 29*x - 25,-54*x**3 - 85*x**2 + 17*x - 53
-11925940364*x**15 - 39330228860*x**14 - 131811604340*x**13 - 334014844822*x**12 - 668788215124*x**11 - 1226070357232*x**10 - 1892595002293*x**9 - 2562695534829*x**8 - 3131174736282*x**7 - 3278729870720*x**6 - 3031435146300*x**5 - 2461834782996*x**4 - 1632581182841*x**3 - 904860902071*x**2 - 395132703966*x - 87905125757,1,52*x**5 - 22*x**4 - 57*x**3 - 11*x**2 + 42*x + 83,-47*x**3 - 31*x**2 - 63*x - 70
24307426166*x**15 - 102997568500*x**14 + 353787919190*x**13 - 628718103301*x**12 + 933870199140*x**11 - 497020935572*x**10 + 65828932824*x**9 + 1014791214106*x**8 - 384412062654*x**7 + 458949379157*x**6 + 888668352726*x**5 + 148750206009*x**4 + 302337402851*x**3 + 477452968315*x**2 + 211830218439*x + 29953355975,1,34*x**5 + 89*x**4 + 20*x**3 + 71*x**2 - 31*x - 28,59*x**3 - 50*x**2 + 87*x + 61
80729442464*x**15 + 356411900240*x**14 + 955761314640*x**13 + 1639855585672*x**12 + 2057617252466*x**11 + 1797529498993*x**10 + 1106681003532*x**9 + 349529622334*x**8 - 11084410162*x**7 - 90185737987*x**6 - 17198157656*x**5 + 1576339987*x**4 + 6989391542*x**3 - 2302506301*x**2 + 275336524*x - 11675490,1,-11*x**5 + 2*x**4 - 67*x**3 + 11*x**2 - 33*x - 82,-94*x**3 - 83*x**2 - 76*x + 16
-784147392*x**15 - 4480842240*x**14 - 18176749920*x**13 - 43659508032*x**12 - 81244713312*x**11 - 90211639680*x**10 - 68220801504*x**9 + 21418552224*x**8 + 49201919244*x**7 + 71053482612*x**6 - 31213336770*x**5 - 5106465280*x**4 - 36208101394*x**3 + 36206622189*x**2 - 11580194470*x + 1252615652,1,6*x**5 - 52*x**4 - 2*x**3 + 21*x**2 + 46*x + 68,-42*x**3 - 48*x**2 - 85*x + 48
1874451456*x**15 + 7289533440*x**14 + 925655040*x**13 - 1580560128*x**12 + 57211582464*x**11 + 17007079936*x**10 - 70994082176*x**9 + 205392077184*x**8 + 49404249216*x**7 - 255515230720*x**6 + 454127629824*x**5 - 60939238784*x**4 - 276147254656*x**3 + 520328312192*x**2 - 315933922560*x + 133444434523,1,-31*x**5 - 78*x**4 + 52*x**3 - 86*x**2 + 91*x - 17,-36*x**3 - 28*x**2 + 40*x - 85
479287776*x**15 - 4030374480*x**14 + 15190649760*x**13 - 25194429304*x**12 - 8706849074*x**11 + 120573603255*x**10 - 186710252869*x**9 - 35227118929*x**8 + 462254601150*x**7 - 418707687656*x**6 - 319754660818*x**5 + 784961809499*x**4 - 91004915407*x**3 - 564811466513*x**2 + 270687803610*x + 284871607465,1,93*x**5 - 34*x**4 + 59*x**3 + 92*x**2 + 20*x + 59,22*x**3 - 37*x**2 + 15*x + 79
-185093352448*x**15 + 1083770287360*x**14 - 3585542798720*x**13 + 8608472458656*x**12 - 16149218116636*x**11 + 24778403680097*x**10 - 31863934251326*x**9 + 34728035726208*x**8 - 32308909277916*x**7 + 25638206145235*x**6 - 17231664430318*x**5 + 9693486090347*x**4 - 4442411362516*x**3 + 1586138400742*x**2 - 406467741052*x + 56701436477,1,73*x**5 - 4*x**4 - 53*x**3 - 21*x**2 + 2*x - 43,-76*x**3 + 89*x**2 - 86*x + 60
243200000*x**15 - 547200000*x**14 - 2912320000*x**13 + 5673744000*x**12 + 15399815600*x**11 - 22174425324*x**10 - 45296939520*x**9 + 36795130542*x**8 + 72875959672*x**7 - 14724553026*x**6 - 49116819200*x**5 - 15189493026*x**4 - 1994071144*x**3 - 132780918*x**2 - 4426576*x - 58744,1,76*x**5 + 62*x**4 - 46*x**3 + 22*x**2 + 22*x,20*x**3 - 9*x**2 - 56*x - 4
-31942443008*x**15 + 74152099840*x**14 + 170712801280*x**13 - 384246904832*x**12 - 469570950912*x**11 + 770770046528*x**10 + 842427517568*x**9 - 637347421216*x**8 - 878878735392*x**7 + 31246772680*x**6 + 361031715632*x**5 + 172458362096*x**4 + 37266225024*x**3 + 4260357120*x**2 + 251217792*x + 6038697,1,-58*x**5 + 18*x**4 - 69*x**3 - 98*x**2 + 52*x + 17,56*x**3 - 26*x**2 - 84*x - 10
-207028224*x**15 + 3493601280*x**14 - 20174469120*x**13 + 31971780864*x**12 + 97972425936*x**11 - 295443603846*x**10 - 222559415298*x**9 + 827936449272*x**8 + 487739515692*x**7 - 707549726100*x**6 - 241261920688*x**5 + 326737791374*x**4 - 1350215290*x**3 - 64760053140*x**2 + 20305642392*x - 1926859382,1,-26*x**5 + 64*x**4 - 2*x**3 - 56*x**2 - 80*x - 70,24*x**3 - 81*x**2 - 79*x + 38
-271176239040*x**15 - 719447164800*x**14 - 1884172264800*x**13 - 2555506309216*x**12 - 3368854941536*x**11 - 2490124241664*x**10 - 1924171658576*x**9 - 433115565712*x**8 - 213537666780*x**7 + 242561193188*x**6 - 28209735334*x**5 + 47986477622*x**4 - 33097760876*x**3 + 8219889059*x**2 - 890798472*x + 36031863,1,-30*x**5 - 76*x**4 + 40*x**3 - 73*x**2 - 76*x + 74,98*x**3 + 52*x**2 + 81*x - 17
-45755155136*x**15 - 368367774400*x**14 - 922595328640*x**13 - 332218191613*x**12 + 1180886775900*x**11 - 345671390446*x**10 - 1710575188480*x**9 + 1654417370063*x**8 + 92557286620*x**7 - 1585253827429*x**6 + 1695936430342*x**5 - 1044088674553*x**4 + 423575420034*x**3 - 116680872910*x**2 + 20187222152*x - 1842166954,1,-64*x**5 - 13*x**4 + 72*x**3 - 43*x**2 + 28*x - 14,59*x**3 + 95*x**2 - 68*x + 31
4452738048*x**15 - 39467450880*x**14 + 155109841920*x**13 - 365625030144*x**12 + 597193261632*x**11 - 740586945312*x**10 + 733280389536*x**9 - 593456998032*x**8 + 399747458016*x**7 - 225582654032*x**6 + 106186140912*x**5 - 41794121472*x**4 + 13213965032*x**3 - 3388727004*x**2 + 598404540*x - 78101000,1,-27*x**5 - 84*x**4 - 48*x**3 + 82*x**2 + 9*x + 96,-44*x**3 + 78*x**2 - 30*x + 19
85983232*x**15 + 2068971520*x**14 + 21579776000*x**13 + 128437535744*x**12 + 485274979232*x**11 + 1233420575562*x**10 + 2198949563532*x**9 + 2847694437686*x**8 + 2746001045456*x**7 + 1999654889450*x**6 + 1103300360628*x**5 + 457304057524*x**4 + 138986766272*x**3 + 29471158824*x**2 + 3930464208*x + 251218029,1,82*x**5 - 66*x**4 - 78*x**3 + 4*x**2 + 24*x - 51,16*x**3 + 77*x**2 + 62*x + 20
-54584009865*x**15 + 38988578475*x**14 + 6188663250*x**13 - 319888306269*x**12 + 177852210543*x**11 + 41722691517*x**10 - 741673433583*x**9 + 302033474568*x**8 + 93871366191*x**7 - 848611563498*x**6 + 226155074326*x**5 + 87778137549*x**4 - 478103738049*x**3 + 62947971935*x**2 + 29431949660*x - 105832949757,1,-55*x**5 + 21*x**4 + 63*x**3 - 67*x**2 + 25*x - 69,63*x**3 - 9*x**2 - 4*x + 72
-5139624960*x**15 - 27839635200*x**14 - 33193411200*x**13 + 69168476448*x**12 + 171882637308*x**11 - 7986302163*x**10 - 272778417018*x**9 - 130115088801*x**8 + 185799354336*x**7 + 158805118146*x**6 - 39310312060*x**5 - 73953671554*x**4 - 12369039608*x**3 + 11194450596*x**2 + 5156077576*x + 645002314,1,-85*x**5 - 97*x**4 - 26*x**3 + 6*x**2 + 52*x - 86,36*x**3 + 39*x**2 - 38*x - 24
1369738755*x**15 - 18885791925*x**14 + 97724382525*x**13 - 216360781956*x**12 + 115696588623*x**11 + 216955035889*x**10 - 102245193058*x**9 - 188522661367*x**8 - 86098721185*x**7 - 18467328503*x**6 - 1906424497*x**5 - 69183838*x**4 + 752617*x**3 - 78307*x**2 + 496*x - 15,1,35*x**5 - 86*x**4 - 41*x**3 - 83*x**2 - 16*x - 15,33*x**3 - 91*x**2 - 31*x
-42930753125*x**15 + 247677421875*x**14 - 426259193750*x**13 - 6800454375*x**12 + 563495066875*x**11 - 101196696375*x**10 - 381179127375*x**9 - 31754926950*x**8 + 122373787775*x**7 + 61917044705*x**6 + 12550548308*x**5 + 1206471188*x**4 + 63945376*x**3 + 1857152*x**2 + 30976*x + 240,1,37*x**5 + 58*x**4 + 77*x**3 - 17*x**2 + 90*x - 5,-65*x**3 + 75*x**2 + 44*x + 1
140762821410*x**15 - 530410631400*x**14 + 1768478925150*x**13 - 3126805294095*x**12 + 5001340955940*x**11 - 4188624515460*x**10 + 3360327810831*x**9 + 673297975026*x**8 - 511588890603*x**7 + 2074873401771*x**6 + 788326925727*x**5 + 346188695687*x**4 + 715331013211*x**3 + 424564867567*x**2 + 97902074630*x + 8018369210,1,90*x**5 - 45*x**4 + 39*x**3 - 10*x**2 - 53*x - 19,69*x**3 - 52*x**2 + 95*x + 39
8605184*x**15 - 202836480*x**14 + 2090708480*x**13 - 12344972192*x**12 + 45890698112*x**11 - 110802036544*x**10 + 171644899576*x**9 - 158324296632*x**8 + 65292423136*x**7 + 12501101460*x**6 - 17319806408*x**5 - 1051465348*x**4 + 2035545890*x**3 + 544846414*x**2 + 53588230*x + 1883314,1,16*x**5 + 38*x**4 - 87*x**3 - 99*x**2 + 15*x + 64,14*x**3 - 66*x**2 + 58*x + 10
22167945216*x**15 - 11545804800*x**14 + 134027550720*x**13 + 23933256192*x**12 + 288257204880*x**11 + 282236610237*x**10 + 376433659083*x**9 + 567960743497*x**8 + 489835318746*x**7 + 510215443944*x**6 + 461551393728*x**5 + 299179867878*x**4 + 197469467799*x**3 + 110315694257*x**2 + 34012922523*x + 4084334830,1,87*x**5 + 97*x**4 + 47*x**3 - 18*x**2 + 55*x,48*x**3 - 5*x**2 + 57*x + 34
-66873600000*x**15 + 39009600000*x**14 - 226441440000*x**13 - 198871992000*x**12 - 159718129800*x**11 - 707872775398*x**10 - 462309786210*x**9 - 562563097233*x**8 - 964172010636*x**7 - 576074013389*x**6 - 557855015991*x**5 - 616646960839*x**4 - 295588691421*x**3 - 181124349394*x**2 - 143431736253*x - 39780260264,1,-86*x**5 - 33*x**4 - 73*x**3 + 11*x**2 - 83*x - 74,60*x**3 - 7*x**2 + 39*x + 54
-18432*x**15 + 1175040*x**14 - 32083200*x**13 + 488094656*x**12 - 4496221416*x**11 + 25332023926*x**10 - 81763386520*x**9 + 110546054976*x**8 + 114344211900*x**7 - 479826566479*x**6 + 40098735060*x**5 + 843124548054*x**4 + 53973374212*x**3 - 779402286551*x**2 - 512915905236*x - 98931855914,1,18*x**5 + 26*x**4 + 71*x**3 - 5*x**2 - 94*x - 60,-4*x**3 + 51*x**2 - 92*x - 89
309841625088*x**15 - 403439616000*x**14 + 1420443648000*x**13 - 732732125184*x**12 + 1783710830400*x**11 + 494857175050*x**10 + 842196969066*x**9 + 1361896453425*x**8 + 650124336600*x**7 + 727935291314*x**6 + 587117553300*x**5 + 276765158850*x**4 + 172918060656*x**3 + 92519910350*x**2 + 24200352075*x + 2328526247,1,-38*x**5 + 21*x**4 + 98*x**3 + 87*x**2 + 23*x - 13,-96*x**3 + 25*x**2 - 75*x - 36
4960116*x**15 - 154314720*x**14 + 1906582860*x**13 - 11410814412*x**12 + 29131372872*x**11 + 11634414384*x**10 - 195786738102*x**9 + 181615990056*x**8 + 451343639238*x**7 - 638302649780*x**6 - 495394455582*x**5 + 891427573964*x**4 + 261733908149*x**3 - 584417081356*x**2 - 52846300755*x + 149712280987,1,-84*x**5 - 72*x**4 + 38*x**3 + 50*x**2 - 73*x - 80,-9*x**3 + 56*x**2 + 5*x - 71
22677553152*x**15 - 184255119360*x**14 + 783084257280*x**13 - 2057028120576*x**12 + 3569534002944*x**11 - 3797718024672*x**10 + 1674100750176*x**9 + 1606685461056*x**8 - 2748574093824*x**7 + 1060795591272*x**6 + 1085233104072*x**5 - 795952179360*x**4 - 114688437864*x**3 + 417727280802*x**2 + 186429117030*x + 23010222550,1,89*x**5 + 64*x**4 - 63*x**3 - 46*x**2 + 85*x - 26,48*x**3 - 78*x**2 + 78*x + 48
196327857024*x**15 - 465649404480*x**14 + 479525304960*x**13 + 97394083488*x**12 - 614769779208*x**11 + 544410258124*x**10 + 51510697620*x**9 - 354184123352*x**8 + 221471790450*x**7 + 50358140233*x**6 - 98045278179*x**5 + 33402735716*x**4 + 17637514851*x**3 - 10142012845*x**2 + 835838166*x + 1676951682,1,-68*x**5 + 28*x**4 - 71*x**3 - 49*x**2 + 38*x - 78,-78*x**3 + 37*x**2 - 3*x - 30
-3822059520*x**15 - 6370099200*x**14 - 10218700800*x**13 - 32241549312*x**12 - 38434185216*x**11 - 48454361088*x**10 - 89158617600*x**9 - 78828973568*x**8 - 79826061072*x**7 - 106013743216*x**6 - 66304744977*x**5 - 53742658787*x**4 - 54463482261*x**3 - 19444575142*x**2 - 12236718930*x - 9370483133,1,-15*x**5 + 43*x**4 - 59*x**3 - 68*x**2 - 10*x - 1,48*x**3 + 16*x**2 + 15*x + 58
-265466565*x**15 + 3223522575*x**14 - 19702314450*x**13 + 72656835489*x**12 - 168673739661*x**11 + 211936903893*x**10 - 3465058491*x**9 - 471177027306*x**8 + 639491038683*x**7 + 26875062990*x**6 - 908595825398*x**5 + 434353904221*x**4 + 574672452495*x**3 - 578263735881*x**2 - 616633277248*x - 142193464164,1,65*x**5 + 69*x**4 + 67*x**3 + 7*x**2 - 59*x - 38,-21*x**3 + 51*x**2 - 64*x - 74
13750000000*x**15 - 28875000000*x**14 + 84755000000*x**13 - 25770850000*x**12 + 28077991000*x**11 + 241726138556*x**10 - 39825054720*x**9 + 204805195749*x**8 + 382150344626*x**7 + 63724375301*x**6 + 283051075648*x**5 + 363472259447*x**4 + 116205234646*x**3 + 137929726749*x**2 + 148449886772*x + 42217456097,1,44*x**5 - 91*x**4 - 65*x**3 + 6*x**2 - 50*x + 47,50*x**3 - 21*x**2 + 44*x + 63
26977283*x**15 + 698235560*x**14 + 6530556120*x**13 + 23143117688*x**12 - 4430003072*x**11 - 149512430848*x**10 + 85066167112*x**9 + 480552514112*x**8 - 1093029996608*x**7 + 1170905475583*x**6 - 776508477360*x**5 + 342590652272*x**4 - 101645819091*x**3 + 19630978488*x**2 - 2242546680*x + 115508210,1,-19*x**5 + 78*x**4 + 64*x**3 - x**2 + 39*x + 48,-17*x**3 - 88*x**2 + 88*x - 22
-56162893059*x**15 - 74060957880*x**14 + 235577598165*x**13 + 331341334597*x**12 - 369188701518*x**11 - 586383260396*x**10 + 238604460903*x**9 + 507924343878*x**8 - 14743679292*x**7 - 208462377512*x**6 - 50183429808*x**5 + 26339034661*x**4 + 15779325413*x**3 + 3289703964*x**2 + 317053244*x + 11881960,1,-9*x**5 - 8*x**4 + 41*x**3 - 99*x**2 - 80*x + 99,91*x**3 + 24*x**2 - 89*x - 17
-299052552420*x**15 - 395299350900*x**14 - 827738271000*x**13 + 148943273985*x**12 + 129010358160*x**11 + 1328719056450*x**10 - 117678282759*x**9 + 280745696952*x**8 - 996531245613*x**7 + 194119293332*x**6 - 231942625566*x**5 + 399296947055*x**4 - 108512799180*x**3 + 53957093020*x**2 - 67244196528*x + 18662794947,1,60*x**5 - 15*x**4 + 53*x**3 - 31*x**2 - 52*x + 47,-87*x**3 - 23*x**2 - 36*x + 50
-34349361028*x**15 + 168205633900*x**14 - 370198422260*x**13 + 410685236352*x**12 - 131468036260*x**11 - 238800876028*x**10 + 310976122103*x**9 - 83141758743*x**8 - 107593248564*x**7 + 87696436242*x**6 + 1530122902*x**5 - 25870156628*x**4 + 5561532843*x**3 + 3642801045*x**2 - 1218846176*x - 426620841,1,-4*x**5 + 32*x**4 - 45*x**3 - 53*x**2 - 64*x - 45,97*x**3 - 95*x**2 + 23*x + 42
882050658*x**15 - 3179484930*x**14 - 3107928630*x**13 + 12853512098*x**12 + 21408278506*x**11 - 23436015714*x**10 - 72462110792*x**9 - 24195344536*x**8 + 98868637878*x**7 + 136764267739*x**6 + 31318454896*x**5 - 97348320791*x**4 - 128403628698*x**3 - 79298597259*x**2 - 26687641050*x - 4171053329,1,6*x**5 - 52*x**4 + 66*x**3 + 73*x**2 + 60*x + 46,43*x**3 - 31*x**2 - 75*x - 57
-55355669244*x**15 - 393316597260*x**14 - 1467461924280*x**13 - 3167191281411*x**12 - 3925336722552*x**11 - 1083813011550*x**10 + 4393248313176*x**9 + 7236833814945*x**8 + 2203973601516*x**7 - 4482458270910*x**6 - 5442215615748*x**5 + 929899864062*x**4 + 2647850725164*x**3 + 973629479916*x**2 - 1660600688544*x + 388140834531,1,-92*x**5 + 69*x**4 + 84*x**3 + 46*x**2 + 28*x + 51,57*x**3 + 81*x**2 + 72*x - 84
324678816*x**15 - 4575019680*x**14 + 33017957280*x**13 - 153766439904*x**12 + 506657903136*x**11 - 1222142085024*x**10 + 2176785015824*x**9 - 2804771138928*x**8 + 2474053993632*x**7 - 1273180481948*x**6 + 184013488408*x**5 + 130664184508*x**4 + 18007726372*x**3 + 1107700152*x**2 + 32602052*x + 374654,1,63*x**5 - 84*x**4 - 22*x**3 - 55*x**2 + 46*x + 86,22*x**3 - 62*x**2 + 98*x + 6
712882560*x**15 - 2056392000*x**14 + 4017873600*x**13 - 11296106016*x**12 + 19346778360*x**11 - 27499273668*x**10 + 47788448744*x**9 - 57419682804*x**8 + 61871206194*x**7 - 79134651641*x**6 + 66462211308*x**5 - 53615516892*x**4 + 52594072044*x**3 - 25728419106*x**2 + 14400526824*x - 10734308814,1,60*x**5 + 84*x**4 + 79*x**3 + 61*x**2 - 33*x + 51,26*x**3 - 15*x**2 + 12*x - 45
-22812241920*x**15 + 217154995200*x**14 - 714991680000*x**13 + 705466007168*x**12 + 843089294736*x**11 - 1564000031244*x**10 - 618669322428*x**9 + 1122873146586*x**8 + 549384857316*x**7 - 109747232785*x**6 - 58825136835*x**5 + 10480097820*x**4 + 1897605877*x**3 - 600982362*x**2 + 52814937*x - 1585413,1,-60*x**5 + 98*x**4 - 37*x**3 - 19*x**2 - 83*x + 83,52*x**3 - 99*x**2 - 51*x + 8
20870395637*x**15 - 119893762170*x**14 + 479764006540*x**13 - 1332559594318*x**12 + 2954519904704*x**11 - 5254521363088*x**10 + 7757136014008*x**9 - 9512066900400*x**8 + 9724353567808*x**7 - 8227260999873*x**6 + 5661738372692*x**5 - 3090299338412*x**4 + 1271320029743*x**3 - 360919123238*x**2 + 61453946652*x - 4650284547,1,-91*x**5 + 87*x**4 - 30*x**3 - 51*x**2 + 14*x - 62,-47*x**3 + 54*x**2 - 92*x + 35
15601815625*x**15 + 86519159375*x**14 + 75610782500*x**13 - 441520575375*x**12 - 1007556904475*x**11 + 349294192381*x**10 + 3068852757365*x**9 + 1950846739290*x**8 - 3603259096065*x**7 - 5082040796489*x**6 + 560170473602*x**5 + 4474524762338*x**4 + 2026749892793*x**3 - 1079501427477*x**2 - 1152266407438*x - 274221193721,1,31*x**5 - 90*x**4 + 51*x**3 + 57*x**2 + 5*x + 31,55*x**3 + 61*x**2 - 82*x - 97
-19309029*x**15 - 25185690*x**14 - 424506630*x**13 - 623531242*x**12 - 3873120696*x**11 - 6103416304*x**10 - 18968257856*x**9 - 29900410224*x**8 - 53544292272*x**7 - 75309927732*x**6 - 85065547824*x**5 - 86451563552*x**4 - 63179142152*x**3 - 27486197984*x**2 - 6291734064*x - 584451775,1,-3*x**5 + 8*x**4 - 24*x**3 - 20*x**2 - 88*x - 63,23*x**3 + 6*x**2 + 98*x + 46
35294700000*x**15 - 231936600000*x**14 + 718067070000*x**13 - 1222669462000*x**12 + 1002556679600*x**11 + 256027670528*x**10 - 1441900799360*x**9 + 1167399354440*x**8 + 209911125170*x**7 - 882257587620*x**6 + 347841269253*x**5 + 270888543629*x**4 - 193147873137*x**3 - 36914606764*x**2 + 54340518957*x + 14884778245,1,-21*x**5 - 10*x**4 + 35*x**3 - 79*x**2 - 81*x + 61,-70*x**3 + 92*x**2 - 43*x - 59
-596587725888*x**15 + 1521907464000*x**14 - 1005080112960*x**13 - 1211556240048*x**12 + 2259980257920*x**11 - 695030068128*x**10 - 1134612961576*x**9 + 1063032189672*x**8 - 18185953152*x**7 - 405085088288*x**6 + 170519989680*x**5 + 42873126912*x**4 - 49204908318*x**3 + 6562134030*x**2 + 4259358054*x - 1377143998,1,66*x**5 - 33*x**4 + 5*x**3 + 63*x**2 - 36*x + 27,-98*x**3 + 50*x**2 + 18*x - 29
-1798200000*x**15 - 21878100000*x**14 - 107971920000*x**13 - 299373642000*x**12 - 619131773100*x**11 - 1173689773082*x**10 - 1814851579130*x**9 - 2290182813612*x**8 - 2952153854610*x**7 - 2920927207681*x**6 - 2493043675965*x**5 - 2657412404483*x**4 - 941953446775*x**3 - 1472916316304*x**2 - 100085371490*x - 343350024568,1,-74*x**5 + 88*x**4 - 75*x**3 + 10*x - 12,30*x**3 + 73*x**2 + 5*x + 86
10149046875*x**15 + 46234546875*x**14 + 147399243750*x**13 + 366955616250*x**12 + 725520360375*x**11 + 1225030243655*x**10 + 1771336061545*x**9 + 2207477209419*x**8 + 2411341933971*x**7 + 2279369176985*x**6 + 1859090454384*x**5 + 1303624972484*x**4 + 754626123750*x**3 + 351015295278*x**2 + 123778464656*x + 23533898803,1,55*x**5 + 69*x**4 - 77*x**3 + 59*x**2 + 24*x + 25,45*x**3 + 41*x**2 + 56*x + 53
-110227609375*x**15 - 118706656250*x**14 - 712500831250*x**13 - 38646497500*x**12 - 1305459311000*x**11 + 1701160839920*x**10 - 1490534890195*x**9 + 3522003726882*x**8 - 3175830788754*x**7 + 3103068724537*x**6 - 3801288013952*x**5 + 2698790160680*x**4 - 1816927056243*x**3 + 1399862653530*x**2 - 619370066250*x + 101553308848,1,-95*x**5 - 28*x**4 - 67*x**3 + 9*x**2 + 45*x - 16,65*x**3 + 14*x**2 + 78*x - 64
