P(x),Q(x)
83*x**4 + 138*x**3 + 3*x**2 - 154*x + 155,12*x**4 + 141*x**3 + 30*x**2 + 114*x + 136
70*x**4 - 149*x**3 - 4*x**2 + 122*x - 140,20*x**4 + 24*x**3 + 21*x**2 - 141*x + 100
-11*x**4 - 118*x**3 - 21*x**2 - 103*x + 100,-57*x**4 - 127*x**3 + 27*x**2 - 79*x - 165
56*x**4 + 110*x**3 - 140*x**2 + 101*x + 61,-121*x**4 + 128*x**3 + 125*x**2 - 73*x - 49
167*x**4 + 12*x**3 - 45*x**2 - 12*x - 18,-27*x**4 + 77*x**3 + 170*x**2 + 113*x + 89
-133*x**4 - 132*x**3 + 124*x**2 - 82*x + 6,-19*x**4 - 157*x**3 + 82*x**2 - 125*x + 9
-106*x**4 - 144*x**3 - 97*x**2 - 149*x - 70,85*x**4 + 39*x**3 + 71*x**2 + 23*x - 23
-35*x**4 - 109*x**3 + 138*x + 84,-116*x**4 + 137*x**3 - 140*x**2 + 127*x - 153
-8*x**4 + 3*x**3 + 6*x**2 - 49*x - 29,-28*x**4 - 92*x**3 - 131*x**2 + 145*x + 169
80*x**4 - 26*x**3 - 110*x**2 - 53*x - 156,-11*x**4 + 179*x**3 + 62*x**2 - 177*x + 166
155*x**4 + 182*x**3 - 32*x**2 - 160*x + 144,-145*x**4 + 36*x**3 + 73*x**2 + 189*x + 68
35*x**4 - 163*x**3 + 123*x**2 - 73*x + 91,-163*x**4 + 3*x**3 + 192*x**2 - 19*x + 36
-183*x**4 - 16*x**3 - 61*x**2 - 62*x,-22*x**4 + 104*x**3 + 192*x**2 + 156*x - 135
-9*x**8 - 4*x**7 - 6*x**6 + 6*x**5 - x**4 - 2*x**3 - x**2 + 3*x - 8,7*x**2 - 9*x + 9
-6*x**8 - 8*x**7 + 8*x**6 + 9*x**5 + x**4 - 7*x**3 - 6*x**2 - 4*x - 6,4*x**2 + 4*x - 9
6*x**8 + x**7 + x**6 + 9*x**5 + 3*x**4 - 8*x**3 - 4*x**2 - 8*x - 8,-7*x**2 + 8*x - 6
19*x**8 + 5*x**7 - 12*x**6 - 2*x**5 + 7*x**4 + 19*x**3 + 7*x**2 + x + 10,2*x**2 + 12*x + 1
-5*x**8 + 14*x**7 - 16*x**6 + 10*x**5 + 4*x**4 + 5*x**3 - 18*x**2 + 3*x + 9,15*x**2 - 4*x - 16
17*x**8 + 7*x**7 + 4*x**6 - 11*x**5 - 12*x**4 + 13*x**3 - 7*x**2 + 7*x + 15,-6*x**2 + 12*x + 11
-13*x**8 - 19*x**7 - 3*x**6 + 17*x**5 - 2*x**4 - 18*x**3 + 6*x**2 + 28*x + 19,x**2 + 10*x - 6
2*x**8 - 18*x**7 - 18*x**6 - 12*x**5 + 9*x**4 + 29*x**3 + 21*x**2 - 23*x + 27,-29*x**2 - 24*x + 14
9*x**8 + 16*x**7 + 24*x**6 - 4*x**5 - 3*x**4 + x**3 + 26*x**2 + 3*x - 19,x**2 + 6*x - 26
-11*x**8 + 22*x**7 + 18*x**6 + 36*x**5 - 14*x**4 + 38*x**3 - 29*x**2 - 39*x - 39,15*x**2 + 13*x - 27
-12*x**8 + 21*x**7 - 29*x**6 + 5*x**5 + 25*x**4 - 4*x**3 + 36*x**2 + 15*x + 36,-38*x**2 + 10*x + 6
20*x**8 - 33*x**7 + 30*x**6 + 28*x**5 - x**4 - 24*x**3 - 35*x**2 + 5*x + 9,21*x**2 + 6*x + 7
37*x**8 + 6*x**7 - 9*x**6 + 46*x**5 - 27*x**3 - 27*x**2 + 11*x + 38,21*x**2 + 18*x + 42
13*x**8 + 49*x**7 + 21*x**6 - 30*x**5 + 30*x**4 + 29*x**3 - 11*x**2 + 46*x + 5,5*x**2 + 20*x + 48
-39*x**8 + 47*x**7 - 47*x**6 + 30*x**5 - 44*x**4 - 13*x**3 - 12*x**2 - 41*x - 4,47*x**2 + 44*x - 36
-2*x**8 - 43*x**7 + 18*x**6 + 21*x**5 - 20*x**4 + 35*x**3 - 9*x**2 + 3*x - 54,-44*x**2 - 29*x - 7
-36*x**8 - 28*x**7 + 41*x**6 + 11*x**5 - 55*x**4 - 29*x**3 - 31*x**2 - 59*x + 38,-37*x**2 - 40*x + 27
40*x**8 - 38*x**7 + 48*x**6 - 58*x**5 - 20*x**4 - 36*x**3 - 52*x**2 - 55*x + 26,43*x**2 - 2*x - 14
23*x**8 - 12*x**7 + 25*x**5 - 65*x**3 - 35*x**2 + 56*x - 58,-22*x**2 - 36*x - 57
-51*x**8 + 49*x**7 - 47*x**6 + 5*x**5 + 52*x**4 - 46*x**3 - 10*x**2 + 34*x - 55,37*x**2 - 49*x + 50
-47*x**8 + 64*x**7 + 69*x**6 + 42*x**5 + 3*x**4 + 57*x**3 + 10*x**2 - 16*x + 12,59*x**2 + 23*x + 57
23*x**8 - 50*x**7 - 40*x**6 + 57*x**5 - 70*x**4 - 7*x**3 - 35*x**2 - 44,-29*x**2 - 18*x + 61
-27*x**8 - 18*x**7 + 34*x**6 - 54*x**5 + 5*x**4 - 55*x**3 - 74*x**2 - 56*x - 66,-64*x**2 - 12*x + 3
x**8 - 72*x**7 + 3*x**6 - 30*x**5 - 50*x**4 + 29*x**3 - 61*x**2 - 66*x - 42,-58*x**2 - 60*x - 47
37*x**8 - 3*x**7 - 83*x**6 - 62*x**5 - 83*x**4 - 65*x**3 - 88*x**2 - 61*x - 78,11*x**2 - 15*x - 67
-38*x**8 - 4*x**7 - 41*x**6 - 37*x**5 + 74*x**4 - 13*x**3 - 60*x**2 - 62*x + 9,60*x**2 - 32*x + 88
2*x**8 + 81*x**7 - 38*x**6 + 16*x**5 - 40*x**4 - 57*x**3 - 84*x**2 - 83*x - 18,31*x**2 + 72*x - 79
-43*x**8 + 99*x**7 - 19*x**6 - 85*x**5 - 29*x**4 + 91*x**3 + 64*x**2 - 6*x + 50,-57*x**2 - 47*x + 80
96*x**8 + 35*x**7 + 40*x**6 - 24*x**5 + 66*x**4 - 12*x**3 - 47*x**2 - 47*x - 41,-87*x**2 + 58*x - 83
-x**8 + 24*x**7 - 98*x**6 + 74*x**5 + 3*x**4 - 46*x**3 - 97*x**2 - 19*x - 83,-42*x**2 - 12*x + 26
21*x**8 - 69*x**7 + 11*x**6 - 7*x**5 - 66*x**4 + 60*x**3 - 74*x**2 - 57*x + 20,-95*x**2 - 4*x + 24
23*x**8 - 107*x**7 - 65*x**6 - 54*x**5 + 92*x**4 + 27*x**3 + 91*x**2 - 81*x + 53,-54*x**2 + 21*x - 77
-79*x**8 + 78*x**7 + 51*x**6 - 30*x**5 - 27*x**4 + 2*x**3 - 49*x**2 + 95*x + 33,29*x**2 - 65*x + 45
57*x**8 - 73*x**7 - 36*x**6 + 33*x**5 + 79*x**4 - 95*x**3 - 35*x**2 + 10*x - 16,113*x**2 - 93*x + 66
-62*x**8 + 67*x**7 - 112*x**6 + 26*x**5 + 4*x**4 - 98*x**3 + 43*x**2 - 111*x - 89,85*x**2 + 18*x + 27
10*x**8 + 73*x**7 + 83*x**6 + 35*x**5 + 75*x**4 - 82*x**3 - 114*x**2 - 98*x + 22,43*x**2 + 38*x + 40
-46*x**8 - 41*x**7 - 4*x**6 + 8*x**5 - 106*x**4 - 102*x**3 - 31*x**2 - 4*x + 83,-62*x**2 - 122*x + 58
33*x**8 + 9*x**7 + 6*x**6 - 19*x**5 + 106*x**4 - 93*x**3 + 36*x**2 + 77*x + 81,-122*x**2 + 110*x + 14
-87*x**8 - 17*x**7 - 24*x**6 + 125*x**5 + 10*x**4 + 76*x**3 - 6*x**2 - 29*x - 21,72*x**2 - 80*x + 93
107*x**8 - 41*x**7 - 109*x**6 - 112*x**5 - 54*x**4 - 36*x**3 - 22*x**2 + 71*x - 112,-51*x**2 - 105*x - 120
-7*x**8 + 70*x**7 - 39*x**6 - 27*x**5 + 131*x**4 - 121*x**3 + 77*x**2 - 135*x - 18,-59*x**2 + 59*x - 68
103*x**8 + 116*x**7 - 50*x**6 + 42*x**5 - 130*x**4 + 8*x**3 - 122*x**2 - 43*x + 119,-51*x**2 - 34*x + 105
-116*x**8 - 78*x**7 - 2*x**6 - 3*x**5 - 77*x**4 + 86*x**3 + 73*x**2 + 74,-122*x**2 - 87*x - 37
-140*x**8 + 86*x**6 + 80*x**5 + 8*x**4 - 14*x**3 + 12*x**2 - 65*x + 20,-40*x**2 - 45*x - 85
-2*x**8 + 141*x**7 - 20*x**6 - 17*x**5 - 36*x**4 + 102*x**3 + 59*x**2 - 121*x - 82,-27*x**2 + 63*x - 91
-157*x**8 + 110*x**7 + 142*x**6 - 18*x**5 + 71*x**4 + 141*x**3 - 151*x**2 + 139*x - 118,89*x**2 + 132*x - 44
154*x**8 + 152*x**7 - 22*x**6 + 152*x**5 - 29*x**4 - 64*x**3 + 109*x**2 + 149*x + 28,106*x**2 + 73*x - 11
13*x**8 + 43*x**7 - 123*x**6 - 60*x**5 + 112*x**4 + 18*x**3 + 147*x**2 - 81*x + 21,93*x**2 + 153*x - 29
61*x**8 - 6*x**7 + 24*x**6 - 28*x**5 - 92*x**4 + 20*x**3 + 95*x**2 - 85*x - 59,105*x**2 + 133*x + 153
-135*x**8 - 89*x**7 - 41*x**6 + 34*x**5 + 82*x**4 + 70*x**3 + 37*x**2 - 9*x - 98,-158*x**2 + 92*x - 132
11*x**8 - 59*x**7 - 63*x**6 + 93*x**5 + 161*x**4 - 84*x**3 + 140*x**2 + 158*x,-97*x**2 - 131*x - 131
-44*x**8 + 117*x**7 + 4*x**6 - 151*x**5 + 92*x**4 + 74*x**3 - 173*x**2 + 114*x - 41,159*x**2 - 85*x + 134
-38*x**8 - 84*x**7 + 45*x**6 - 86*x**5 - 162*x**4 + 19*x**3 + 49*x**2 + 148*x + 122,129*x**2 - 166*x - 4
176*x**8 - 49*x**7 + 84*x**6 + 158*x**5 + 149*x**4 + 31*x**3 - 70*x**2 + 6*x + 117,4*x**2 + 56*x - 169
67*x**8 + 67*x**7 + 151*x**6 + 146*x**5 + 6*x**4 - 118*x**3 + 167*x**2 + 96*x + 30,-40*x**2 + 122*x - 33
120*x**8 - 95*x**7 - 155*x**6 - 116*x**5 - 8*x**4 + 165*x**3 + 76*x**2 + 53*x + 53,-128*x**2 + 104*x + 7
49*x**8 + 58*x**7 - 146*x**6 + 119*x**5 + 147*x**4 - 19*x**3 - 50*x**2 - 65*x - 147,34*x**2 - 18*x + 70
-68*x**8 + 166*x**7 - 85*x**6 + 164*x**5 + 18*x**4 - 135*x**3 + 187*x**2 + 66*x + 96,149*x**2 + 129*x + 193
103*x**8 - 80*x**7 + 91*x**6 - 24*x**5 + 5*x**4 + 67*x**3 + 188*x**2 + 129*x - 16,-149*x**2 + 24*x - 12
121*x**8 + 95*x**7 + 131*x**6 - 58*x**5 + 68*x**4 - 14*x**3 - 99*x**2 + 58*x + 94,152*x**2 - 31*x - 83
